"name,""barcode"",""price""";
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7""";
"SUSHI ROLL SURTIDO CON PESCADO COCIDO (2 LANGOSTINO, 2 TAMAGO Y 2 SURIMI) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 95 G,""08410063082493"",""3.95""";
"SUSHI ROLL SURTIDO CON PESCADO CRUDO (2 ATUN Y 4 SALMON) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 95 G,""08410063082486"",""3.95""";
"SUSHI ROLL SURTIDO CON PESCADO CRUDO (4 SURIMI, 8 SALMON Y 4 LANGOSTINO COCIDO) *NOVEDAD*, OMAKASE, BANDEJA 16 U - 280 G,""08410063082660"",""8.95""";
"SUSHI SASHIMI SALMON CON SESAMO BLANCO Y SALSA PONZU ***NOVEDAD***, OMAKASE, BANDEJA 116 G,""08410063082677"",""5.75""";
"SUSHI SURTIDO BENTO BOX (ENSALADA ALGA WAKAME, SURTIDO SUSHI Y TARTAR SALMON) *NOVEDAD*, OMAKASE, BANDEJA 260 G,""08410063082615"",""6.95""";
"SUSHI SURTIDO SIN GLUTEN (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U - 300 G,""08410063082622"",""9.95""";
"SUSHI SURTIDO (16 NIGUIRIS, 12 ROLL, 12 MAKIS Y 8 SASHIMIS) (ENTREGAS VIERNES, SABADOS Y VISPERAS FESTIVOS) *NOVEDAD*, OMAKASE, BANDEJA 48 U - 950 G,""08410063082523"",""31.95""";
"SUSHI SURTIDO (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U- 288 G,""08410063082479"",""8.95""";
"SUSHI TARTAR CON PESCADO CRUDO (ATUN, CEBOLLINO, CEBOLLA Y SESAMO) *NOVEDAD*, OMAKASE, BANDEJA 160 G,""08410063082585"",""5.75""";
"VINO BLANCO FRIZZANTE SIN ALCOHOL ***NOVEDAD***, DULZZE, BOTELLA 750 CC,""08480000668943"",""3.99""";
"WASABI (PARA SUSHI) ***NOVEDAD***, LEROY, PAQUETE 4 MONODOSIS - 10 G,""08436550541540"",""0.90""";
"SUSHI ALGAS WAKAME ***NOVEDAD***, OMAKASE, BANDEJA 80 G,""08410063082530"",""3.10""";
"SUSHI BOWL CON PESCADO CRUDO (ENSALADA ARROZ, SALMÓN, PEPINO Y SALSA SUSHI) ***NOVEDAD***, OMAKASE, BANDEJA 200 G,""08410063082592"",""3.95""";
"SUSHI ENSALADA ALGA WAKAME CON SALMÓN ***NOVEDAD***, OMAKASE, BANDEJA 160 G,""08410063082608"",""4.50""";
"SUSHI GYOZAS CON PESCADO CRUDO (GAMBAS Y VERDURAS) ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 80 G,""08410063082547"",""3.75""";
"SUSHI MAKIS SALMON CON PESCADO CRUDO ***NOVEDAD***, OMAKASE, BANDEJA 8 U - 100 G,""08410063082653"",""4.25""";
"SUSHI MAKIS SURTIDO VEGANO ***NOVEDAD***, OMAKASE, BANDEJA 8 U - 135 G,""08410063082639"",""4.50""";
"SUSHI NIGUIRIS LANGOSTINO COCIDO ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 110 G,""08410063082578"",""3.75""";
"SUSHI NIGUIRIS SALMON CON PESCADO CRUDO ***NOVEDAD***, OMAKASE, BANDEJA 4 U - 110 G,""08410063082509"",""3.75""";
"SUSHI NIGUIRIS SURTIDO CON PESCADO CRUDO (2 SALMON, 2 ATUN Y 2 LANGOSTINO) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 165 G,""08410063082516"",""4.75""";
"SUSHI ROLL CRUNCH CON PESCADO COCIDO (SURIMI, PEPINO, CREMA QUESO Y CEBOLLA) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 115 G,""08410063082462"",""3.95""";
"SUSHI ROLL SURTIDO CON PESCADO COCIDO (2 LANGOSTINO, 2 TAMAGO Y 2 SURIMI) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 95 G,""08410063082493"",""3.95""";
"SUSHI ROLL SURTIDO CON PESCADO CRUDO (2 ATUN Y 4 SALMON) ***NOVEDAD***, OMAKASE, BANDEJA 6 U - 95 G,""08410063082486"",""3.95""";
"SUSHI ROLL SURTIDO CON PESCADO CRUDO (4 SURIMI, 8 SALMON Y 4 LANGOSTINO COCIDO) *NOVEDAD*, OMAKASE, BANDEJA 16 U - 280 G,""08410063082660"",""8.95""";
"SUSHI SASHIMI SALMON CON SESAMO BLANCO Y SALSA PONZU ***NOVEDAD***, OMAKASE, BANDEJA 116 G,""08410063082677"",""5.75""";
"SUSHI SURTIDO BENTO BOX (ENSALADA ALGA WAKAME, SURTIDO SUSHI Y TARTAR SALMON) *NOVEDAD*, OMAKASE, BANDEJA 260 G,""08410063082615"",""6.95""";
"SUSHI SURTIDO SIN GLUTEN (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U - 300 G,""08410063082622"",""9.95""";
"SUSHI SURTIDO (16 NIGUIRIS, 12 ROLL, 12 MAKIS Y 8 SASHIMIS) (ENTREGAS VIERNES, SABADOS Y VISPERAS FESTIVOS) *NOVEDAD*, OMAKASE, BANDEJA 48 U - 950 G,""08410063082523"",""31.95""";
"SUSHI SURTIDO (4 NIGIRIS, 4 ROLL, 4 MAKIS, 4 SASHIMIS) ***NOVEDAD***, OMAKASE, BANDEJA 16 U- 288 G,""08410063082479"",""8.95""";
"SUSHI TARTAR CON PESCADO CRUDO (ATUN, CEBOLLINO, CEBOLLA Y SESAMO) *NOVEDAD*, OMAKASE, BANDEJA 160 G,""08410063082585"",""5.75""";
"ALGA NORI SECA (PARA HACER SUSHI), TAIKOBAN, PAQUETE 6 HOJAS - 15 G,""."",""1.50""";
"ARROZ ESPECIAL SUSHI, HACENDADO, PAQUETE 500 G,""08480000050373"",""1.25""";
"ENSALADA DE WAKAME CONGELADA, , PAQUETE 125 G,""08480000693839"",""1.25""";
"JENGIBRE MOLIDO (TAPON ROJO), HACENDADO, TARRO 49 G,""08480000341495"",""1.10""";
"SALSA SOJA (PARA SUSHI) ***NOVEDAD***, LEROY, PAQUETE 4 MONODOSIS - 26 G,""08436550541557"",""0.90""";
"SALSA SOJA SALADA, HACENDADO, BOTELLA 250 CC,""04006824005715"",""1.35""";
"SOPA INSTANTANEA MISO (CON ALGA WAKAME), , PAQUETE 3 SOBRES - 78,6 G,""08480000800572"",""1.45""";
"SUSHI KIT (PALILLOS, SALSA WASABI, SALSA DE SOJA Y BANDEJA PARA SALSA) *NOVEDAD*, LEROY, U,""08436550541465"",""1.0""";
"WASABI (PARA SUSHI) ***NOVEDAD***, LEROY, PAQUETE 4 MONODOSIS - 10 G,""08436550541540"",""0.90""";
"ACEITE DE AGUACATE, ETHNOS, BOTELLA 250 CC,""08004275080653"",""5.00""";
"ACEITE DE COCO, NAT SANNO, BOTE 450 CC,""08436542193474"",""4.50""";
"ACEITE GIRASOL TAPON AMARILLO ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 L,""08480000040411"",""4.79""";
"ACEITE GIRASOL TAPON AMARILLO, HACENDADO, BOTELLA 1 L,""08480000040404"",""0.9""";
"ACEITE OLIVA SABOR INTENSO TAPON VERDE ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000046406"",""2.7""";
"ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, GARRAFA 5 L,""08480000046413"",""12.95""";
"ACEITE OLIVA SABOR SUAVE TAPON ROJO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000042408"",""2.7""";
"ACEITE OLIVA SABOR SUAVE (TAPON ROJO) ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 L,""08480000042415"",""12.95""";
"ACEITE OLIVA VIRGEN EXTRA GRAN SELECCION (TAPON DOSIFICADOR), HACENDADO, BOTELLA CRISTAL 750 CC,""08480000047069"",""3.69""";
"ACEITE OLIVA VIRGEN EXTRA MONODOSIS, HACENDADO, TARRINAS PACK 10 X 10 CC - 100 CC,""08480000047205"",""1.35""";
"ACEITE OLIVA VIRGEN EXTRA SPRAY, HACENDADO, BOTE 200 CC,""08480000047182"",""2.15""";
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, BOTELLA 1 L,""08480000047403"",""3.5""";
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***BAJADA PVP PENINSULA Y BALEARES***, HACENDADO, GARRAFA 3 L,""08480000047175"",""9.97""";
"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO ***SUJETO A DISPONIBILIDAD*** ***BAJADA PVP PENINSULA Y BALEARES***, EMINENTE, GARRAFA 5 L,""08422881001495"",""14.95""";
"ACEITE OLIVA VIRGEN EXTRA TAPON VERDE, HOJIBLANCA, BOTELLA 1 L,""08422767123167"",""4.9""";
"ACEITE OLIVA VIRGEN TAPON VERDE OSCURO, HACENDADO, GARRAFA 3 L,""08480000047113"",""8.70""";
"ACEITE OLIVA VIRGEN TAPON VERDE OSCURO, HACENDADO, BOTELLA 1 L,""08480000047496"",""3.2""";
"ACEITE SEMILLAS FREIR TAPON ROJO, HACENDADO, BOTELLA 1 L,""08480000044426"",""1.5""";
"ACEITE SEMILLAS FREIR TAPON ROJO, HACENDADO, GARRAFA 5 L,""08480000044433"",""7.15""";
"ACEITE VINAGRE Y SAL (MONODOSIS 5+5+5), MERRY, PAQUETE 100 CC,""08411831220017"",""1.32""";
"ALIÑO (ACEITE OLIVA, AJO Y PEREJIL) REFRIGERADO, HACENDADO, TARRINA 150 G,""08480000172655"",""1.20""";
"LIMON EXPRIMIDO, HACENDADO, BOTELLA 280 CC,""08480000049032"",""0.88""";
"AJO GRANULADO (TAPON ROJO), HACENDADO, TARRO 85 G,""08480000341815"",""0.67""";
"ALBAHACA (TAPON VERDE), HACENDADO, TARRO 20 G,""08480000341280"",""0.65""";
"ANIS GRANO (TAPÓN MARRON), HACENDADO, TARRO 50 G,""08480000341235"",""0.90""";
"AZAFRAN HEBRA, HACENDADO, CAJA 0.37 G,""08480000341150"",""1.60""";
"AZAFRAN MOLIDO, HACENDADO, CAJA 0.40 G,""08480000341167"",""1.55""";
"BOLSA PARA ASAR PESCADO EN SU JUGO, HACENDADO, CAJA 2 U - 28 G,""08480000374097"",""0.95""";
"BOLSA PARA ASAR POLLO AL AJO Y LIMON, HACENDADO, CAJA 2 U - 60 G,""08480000374035"",""0.95""";
"BOLSA PARA ASAR POLLO COSTILLAS Y LOMO CON HIERBAS PROVENZALES, HACENDADO, CAJA 2 U - 48 G,""08480000374028"",""0.95""";
"BOLSA PARA ASAR POLLO Y COSTILLA SABOR BARBACOA, HACENDADO, CAJA 2 U - 48 G,""08480000374141"",""0.95""";
"CANELA MOLIDA (TAPON ROJO), HACENDADO, TARRO 52 G,""08480000341778"",""0.51""";
"CANELA RAMA ( TAPÓN MARRON), HACENDADO, TARRO 18 G,""08480000341761"",""1.20""";
"CAYENA (GUINDILLA) (TAPÓN MARRON), HACENDADO, TARRO 27 G,""08480000341785"",""0.95""";
"CEBOLLA FRITA CRUJIENTE, ONION SPECIALTIES, BOTE 150 G,""08718781824402"",""0.99""";
"CEBOLLA POLVO (TAPON ROJO), HACENDADO, TARRO 60 G,""08480000341389"",""0.95""";
"CLAVO GRANO (TAPÓN MARRON), HACENDADO, TARRO 42 G,""08480000341228"",""1.10""";
"COLORANTE ALIMENTARIO SOBRES, EL AEROPLANO, CAJA 18 G,""08416200104134"",""0.75""";
"COLORANTE ALIMENTARIO SOBRES, HACENDADO, CAJA 35 G,""08480000341082"",""1.00""";
"COLORANTE ALIMENTARIO (TAPON NARANJA), HACENDADO, TARRO 85 G,""08480000341822"",""0.59""";
"COMINO GRANO (TAPÓN MARRON), HACENDADO, TARRO 56 G,""08480000341211"",""0.80""";
"COMINO MOLIDO (TAPON ROJO), HACENDADO, TARRO 58 G,""08480000341204"",""0.63""";
"CURCUMA (TAPON ROJO), HACENDADO, TARRO 60 G,""08480000341631"",""1.15""";
"CURRY (TAPON ROJO), HACENDADO, TARRO 57 G,""08480000341259"",""0.62""";
"ENELDO HOJAS (TAPON VERDE), HACENDADO, TARRO 22 G,""08480000341365"",""1.05""";
"HIERBAS PROVENZALES (TAPON VERDE), HACENDADO, TARRO 25 G,""08480000341310"",""0.70""";
"JENGIBRE MOLIDO (TAPON ROJO), HACENDADO, TARRO 49 G,""08480000341495"",""1.10""";
"LAUREL HOJA, HACENDADO, PAQUETE 12 G,""08480000194312"",""0.66""";
"NUEZ MOSCADA MOLIDA ( TAPON ROJO), HACENDADO, TARRO 58 G,""08480000341730"",""1.10""";
"ÑORAS, HACENDADO, CAJA 25 G,""08480000341136"",""0.96""";
"OREGANO (TAPON VERDE), HACENDADO, TARRO 18 G,""08480000341808"",""0.56""";
"PEREJIL (TAPON VERDE), HACENDADO, TARRO 18 G,""08480000341792"",""0.69""";
"PIMENTON DULCE VERA D.O, YUSTE 1557, LATA 75 G,""08412917002084"",""1.38""";
"PIMENTON PICANTE DE LA VERA D.O, YUSTE 1557, LATA 75 G,""08412917002565"",""1.45""";
"PIMENTON ROJO DULCE (TAPON ROJO), HACENDADO, TARRO 56 G,""08480000341846"",""0.55""";
"PIMENTON ROJO DULCE, HACENDADO, LATA 75 G,""08480000341860"",""0.90""";
"PIMENTON ROJO PICANTE (TAPON ROJO), HACENDADO, TARRO 60 G,""08480000341839"",""0.75""";
"PIMIENTA BLANCA MOLIDA (TAPON ROJO), HACENDADO, TARRO 70 G,""08480000341709"",""1.10""";
"PIMIENTA NEGRA GRANO (TAPÓN MARRON), HACENDADO, TARRO 70 G,""08480000341723"",""0.75""";
"PIMIENTA NEGRA MOLIDA (TAPON ROJO), HACENDADO, TARRO 70 G,""08480000341716"",""0.69""";
"PIMIENTA NEGRA MOLINILLO (TAPON NEGRO), HACENDADO, BOTE 65 G,""08480000341907"",""1.32""";
"PIMIENTA POPURRI MOLINILLO (TAPON NEGRO), HACENDADO, BOTE 50 G,""08480000341891"",""1.40""";
"PIMIENTO CHORICERO CONSERVA (CARNE DE PIMIENTO), EL SOL, TARRO 140 G,""08414591000356"",""1.30""";
"PIMIENTO DULCE CHORICERO, HACENDADO, CAJA 75 G,""08480000347893"",""1.95""";
"PIÑONES IBERICOS, HACENDADO, TARRO 50 G,""08480000342102"",""3.50""";
"PREPARADO PAELLA (CON AZAFRAN), HACENDADO, TARRO 76 G,""08480000347770"",""1.65""";
"ROMERO (TAPON VERDE), HACENDADO, TARRO 40 G,""08480000341754"",""0.80""";
"SAL AJO (TAPON ROJO), HACENDADO, TARRO 130 G,""08480000341303"",""1.00""";
"SALSA TRUFAS ***NOVEDAD***, , TARRO 80 G,""08020950004011"",""2.95""";
"SAZONADOR BARBACOA (TAPON AZUL), HACENDADO, TARRO 98 G,""08480000374042"",""1.40""";
"SAZONADOR BURRITO, HACENDADO, SOBRE 40 G,""08480000171474"",""0.79""";
"SAZONADOR DE PAELLA CON AZAFRAN, HACENDADO, CAJA 20 G (5 SOBRES),""08480000347022"",""1.30""";
"SAZONADOR ENSALADA (TAPON AZUL), HACENDADO, TARRO 95 G,""08480000374059"",""1.40""";
"SAZONADOR ESPAGUETI (TAPON AZUL), HACENDADO, TARRO 45 G,""08480000341341"",""1.40""";
"SAZONADOR FAJITAS, HACENDADO, SOBRE 30 G,""08480000171467"",""0.79""";
"SAZONADOR PESCADO (TAPON AZUL), HACENDADO, TARRO 95 G,""08480000374066"",""1.40""";
"SAZONADOR PINCHITOS (TAPON AZUL), HACENDADO, TARRO 70 G,""08480000374127"",""1.30""";
"SAZONADOR POLLO ASADO (TAPON AZUL), HACENDADO, TARRO 92 G,""08480000374080"",""1.05""";
